obs.north_m,obs.east_m,obs.heading_deg,obs.speed_mps,obs.cross_track_error_m,obs.wind_speed_mps,obs.wind_dir_deg,obs.current_speed_mps,obs.current_dir_deg,act.t_sample_s,act.Hs_m,act.U_w_bar_mps,act.U_w_bar_knot,act.Tp_s,act.psi_ww_bar_deg,act.U_c_bar_mps,act.psi_c_bar_deg,act.valid,act.sea_state,done.terminated,done.truncated,reward
9077165.0,940120.375,-50.62056350708008,4.537126541137695,83.70825958251953,4.1137166023254395,-180.0,0.2906815707683563,-180.0,2000.0,3.3846659660339355,13.492003440856934,26.226356807077035,11.719706535339355,73.063720703125,0.7358191609382629,107.3886947631836,True,SS 5,False,False,-9.226448541279815
9080978.0,938152.1875,-127.66670989990234,4.378805160522461,0.0,13.182290077209473,180.0,0.7791529893875122,180.0,3200.0,3.308631658554077,13.265292167663574,25.785665343498657,12.856756210327148,118.38070678710938,0.9281487464904785,171.18634033203125,True,SS 5,False,False,-7.111153955408366
9081504.0,934941.6875,-152.995849609375,5.078752517700195,0.0,13.998605728149414,180.0,0.9549130201339722,180.0,4400.0,3.0426981449127197,13.465231895446777,26.174317085527793,12.424921989440918,131.54428100585938,0.952174723148346,171.6776580810547,True,SS 5,True,False,-0.6935133346664646
