obs.north_m,obs.east_m,obs.heading_deg,obs.speed_mps,obs.cross_track_error_m,obs.wind_speed_mps,obs.wind_dir_deg,obs.current_speed_mps,obs.current_dir_deg,act.t_sample_s,act.Hs_m,act.U_w_bar_mps,act.U_w_bar_knot,act.Tp_s,act.psi_ww_bar_deg,act.U_c_bar_mps,act.psi_c_bar_deg,act.valid,act.sea_state,done.terminated,done.truncated,reward
9076121.0,938864.625,-66.78002166748047,4.525036811828613,104.30458068847656,5.725296974182129,161.55731201171875,0.2713829278945923,-180.0,2000.0,3.4134440422058105,13.455721855163574,26.155831045940694,12.696961402893066,24.51106071472168,0.39198797941207886,48.104949951171875,True,SS 5,False,False,-7.8254502080764805
9079223.0,936332.0625,-42.97329330444336,4.405865669250488,52.1994514465332,13.858721733093262,180.0,0.3858792781829834,180.0,2900.0,3.3662450313568115,13.450763702392578,26.146193167900847,10.3264799118042,117.04409790039062,0.6472336053848267,157.29830932617188,True,SS 5,False,False,-8.193351414574632
9081088.0,933302.25,-57.84126281738281,4.453267574310303,23.29730987548828,13.92665958404541,180.0,0.6098442077636719,180.0,3800.0,3.5080761909484863,13.426508903503418,26.099045610257576,12.10788345336914,-17.773120880126953,0.6804009079933167,145.32290649414062,True,SS 5,False,False,-7.20134599751789
9079976.0,932590.875,-180.0,4.990437030792236,0.0,14.34119987487793,-180.0,0.6064635515213013,180.0,4700.0,3.267859935760498,12.767167091369629,24.817387649032867,11.014333724975586,-42.74217224121094,0.48267126083374023,136.1599884033203,True,SS 5,True,False,11.694921191820518
