Wall time,Step,Value
1763176382.5170345,25129,40.07723617553711
1763176423.5551755,25436,81.16169738769531
1763176441.4979887,25571,94.82705688476562
1763176488.6428022,25913,120.2984619140625
1763176494.9263992,25959,124.5701675415039
1763176504.139218,26026,124.54733276367188
1763176509.9123642,26070,129.54818725585938
1763176527.1122558,26193,126.69300842285156
1763176536.4240825,26262,130.69520568847656
1763176578.9395344,26573,130.86573791503906
1763176586.829239,26630,130.0526580810547
1763176600.901231,26732,121.39047241210938
1763176622.819647,26885,119.65873718261719
1763176642.7869596,27031,120.77254486083984
1763176663.911752,27181,113.6784439086914
1763176670.185031,27221,115.093994140625
1763176672.47733,27236,111.96778106689453
1763176688.4067202,27345,105.02204132080078
1763176718.1011448,27545,103.47039794921875
1763176748.3386502,27753,90.20425415039062
1763176772.9291854,27919,82.776123046875
1763176783.4391057,27988,81.65887451171875
1763176789.5610049,28028,80.81389617919922
1763176810.8045247,28173,76.94892883300781
1763176813.1848018,28190,73.82186889648438
1763176834.7571788,28332,74.59271240234375
1763176847.3768907,28418,70.572021484375
1763176852.1374052,28451,71.69345092773438
1763176854.0647595,28463,69.8548812866211
1763176862.2252605,28516,67.01447296142578
1763176881.3373437,28647,67.93729400634766
1763176900.4595444,28778,67.11245727539062
1763176902.409885,28790,64.46346282958984
1763176912.9269786,28860,65.16466522216797
1763176936.3876173,29011,66.62419128417969
1763176949.5073771,29099,65.15582275390625
1763176961.0436418,29177,63.43152618408203
1763176968.0162518,29225,64.52628326416016
1763176995.3817267,29408,64.30622863769531
1763177009.39071,29503,65.2800521850586
1763177020.536058,29578,62.989662170410156
1763177035.388572,29675,63.800010681152344
1763177044.5997243,29736,63.75800323486328
1763177050.5930579,29779,63.5895881652832
1763177093.760258,30074,63.8271484375
1763177104.2765431,30144,66.4511947631836
1763177106.5073454,30159,64.44490051269531
1763177119.2326002,30247,62.24251937866211
1763177131.8306437,30337,63.86078643798828
1763177136.5709858,30371,62.86515426635742
1763177154.8740883,30496,63.45106506347656
1763177156.8527503,30509,62.308502197265625
1763177173.1280663,30620,62.0850830078125
1763177182.9700131,30688,62.17006301879883
1763177203.6942217,30826,62.18070602416992
1763177221.9355252,30954,60.144264221191406
1763177259.535211,31216,60.399654388427734
1763177270.1684475,31292,59.98160934448242
1763177284.8548205,31395,60.7437858581543
1763177293.766191,31454,59.95905303955078
1763177298.7621021,31490,58.2725830078125
1763177400.9396079,32189,57.74885559082031
1763177403.1954317,32205,56.755435943603516
1763177407.4932725,32234,58.48463439941406
1763177420.6010485,32321,58.58775329589844
1763177440.805957,32455,57.68804168701172
1763177445.0067625,32483,56.26830291748047
1763177447.5930371,32501,57.49454116821289
1763177453.8751616,32542,56.56695556640625
1763177467.5514333,32635,57.17540740966797
1763177489.0289798,32783,55.68830108642578
1763177496.969811,32840,56.55992889404297
1763177499.8045967,32860,55.20363998413086
1763177525.168246,33040,53.805049896240234
1763177567.7504413,33336,55.06768035888672
1763177572.6198897,33369,55.08710861206055
1763177607.2355025,33606,54.73527526855469
1763177619.3891945,33689,54.279510498046875
1763177623.8354428,33719,53.439422607421875
1763177630.7975245,33769,55.00956726074219
1763177648.9809163,33895,53.69560241699219
1763177662.725202,33989,52.631256103515625
1763177667.765024,34025,52.57989501953125
1763177674.8629289,34075,51.34824752807617
1763177688.725259,34169,52.817283630371094
1763177700.2030177,34248,52.965362548828125
1763177725.3028202,34424,51.515045166015625
1763177740.1686492,34527,54.377197265625
1763177754.5110776,34628,53.60472869873047
1763177764.7728076,34700,52.05681610107422
1763177779.1423104,34802,51.44074630737305
1763177783.9292996,34835,53.44377136230469
1763177786.351037,34851,52.218482971191406
1763177789.842122,34872,53.76512145996094
1763177795.089473,34908,52.32023239135742
1763177796.9953413,34920,53.8453369140625
1763177809.0952387,35003,53.91044616699219
1763177812.1194491,35026,53.102298736572266
1763177832.8771455,35171,51.49573516845703
1763177847.6135292,35273,50.97266387939453
1763177852.8721414,35310,52.102996826171875
1763177863.9416156,35383,51.13432693481445
1763177875.1656945,35461,52.35243225097656
1763177879.2994502,35489,51.354652404785156
1763177906.5343332,35674,52.95471954345703
1763177922.1586337,35779,51.10471725463867
1763177924.7447386,35796,53.295021057128906
1763177929.1605868,35827,51.2919921875
1763177933.9609554,35861,52.827049255371094
1763177936.0925696,35875,52.84859848022461
1763177939.7001126,35896,51.967979431152344
1763177968.4101129,36096,52.20880889892578
1763177976.32658,36153,51.861572265625
1763177985.6143894,36217,48.06365966796875
1763177992.7594023,36266,51.0794677734375
1763177998.9690187,36307,51.266761779785156
1763178009.3049889,36383,51.2630615234375
1763178011.4538174,36397,51.492958068847656
1763178020.6639724,36458,50.94526672363281
1763178032.901845,36542,52.081451416015625
1763178056.6966238,36699,50.18226623535156
1763178066.657642,36767,51.3004150390625
1763178074.1081824,36819,51.4355583190918
