Wall time,Step,Value
1763175477.7833633,17591,-311.966796875
1763175483.2483187,17637,-317.6792907714844
1763175496.4773772,17748,-332.1135559082031
1763175498.7558603,17767,-305.8560791015625
1763175501.4722443,17790,-311.5013732910156
1763175511.8265042,17875,-288.0360412597656
1763175521.7043946,17956,-268.80718994140625
1763175534.6117141,18061,-267.62542724609375
1763175537.2835648,18083,-287.1048278808594
1763175539.820673,18105,-296.20355224609375
1763175602.1662827,18628,-292.8586120605469
1763175613.8469687,18726,-321.9537048339844
1763175619.4676359,18772,-341.84716796875
1763175632.8365803,18883,-322.3201904296875
1763175704.798937,19492,-341.8688049316406
1763175719.1359959,19613,-337.0281066894531
1763175724.4180872,19657,-321.677490234375
1763175740.072559,19788,-305.5107727050781
1763175760.9695313,19961,-283.66644287109375
1763175777.4577847,20097,-314.42034912109375
1763175787.9128351,20184,-291.52398681640625
1763175807.1900313,20346,-317.0104064941406
1763175812.8670015,20392,-321.187744140625
1763175828.3994641,20522,-298.20391845703125
1763175833.67626,20566,-294.4873352050781
1763175871.1463249,20883,-303.52227783203125
1763175873.7812479,20906,-305.32666015625
1763175881.833567,20975,-326.14129638671875
1763175899.6868095,21122,-311.7237854003906
1763175907.7223308,21190,-317.88592529296875
1763175930.4210606,21378,-294.39208984375
1763175940.8096502,21466,-287.3423767089844
1763175948.3062198,21530,-306.3408508300781
1763175950.8293574,21550,-306.38629150390625
1763175975.6210594,21761,-329.3699951171875
1763175978.175999,21782,-321.3204345703125
1763175988.7353687,21870,-311.2765808105469
1763175993.7829998,21912,-295.3924560546875
1763175996.053916,21931,-286.3252868652344
1763176009.0560412,22039,-295.35943603515625
1763176019.1235447,22123,-291.97698974609375
1763176040.8733904,22304,-319.5018615722656
1763176051.1359704,22388,-304.7781982421875
1763176056.3076093,22433,-305.0823669433594
1763176064.4190361,22501,-326.5092468261719
1763176087.8233068,22698,-293.342041015625
1763176095.6947436,22763,-309.37982177734375
1763176115.9872108,22933,-290.70843505859375
1763176149.2199385,23210,-302.8714904785156
1763176168.08497,23367,-302.12762451171875
1763176203.590106,23660,-330.90521240234375
1763176219.988769,23793,-313.4647521972656
1763176227.976551,23859,-319.7811279296875
1763176232.9800563,23900,-309.30718994140625
1763176243.6521256,23988,-316.52520751953125
1763176253.4694307,24070,-302.11602783203125
1763176259.1943717,24117,-299.6122131347656
1763176272.5101225,24227,-303.3453369140625
1763176275.1085074,24249,-299.8451843261719
1763176299.122406,24447,-321.35382080078125
1763176315.0176196,24578,-301.05401611328125
1763176325.8988063,24668,-307.9781799316406
1763176328.8658676,24694,-310.5848388671875
1763176355.9352798,24921,-316.3714294433594
1763176370.41485,25037,-332.4139709472656
1763176414.1024384,25365,-249.4287109375
1763176480.3600912,25856,-120.48619079589844
1763176483.1565444,25876,-116.67718505859375
1763176494.9263825,25959,-99.60868835449219
1763176498.4803774,25985,-90.46533966064453
1763176501.2465708,26005,-78.19044494628906
1763176554.046826,26390,-83.28463745117188
1763176586.8292205,26630,-67.97594451904297
1763176589.348768,26648,-63.96458053588867
1763176605.602539,26764,-49.60133743286133
1763176611.145744,26804,-53.09370803833008
1763176625.5680842,26905,-66.0177001953125
1763176690.5262032,27359,-44.33021926879883
1763176695.0532725,27389,-41.83322525024414
1763176718.1011283,27545,-50.561607360839844
1763176744.272853,27726,-49.81304168701172
1763176750.7519584,27770,-46.5145263671875
1763176756.6875703,27808,-40.08180236816406
1763176801.824601,28112,-52.12190628051758
1763176815.8954008,28209,-50.92131805419922
1763176830.4229186,28303,-41.473487854003906
1763176844.6717248,28399,-51.092552185058594
1763176867.2947862,28552,-49.70289993286133
1763176879.0870988,28633,-52.03337097167969
1763176881.337327,28647,-49.914215087890625
