#Y/East, X/North
#9066280.922 944870.628
#9069790.922 938410.628
9075650.922 931450.628
9080360.922 929400.628
9081220.922 932290.628
9079700.922 936860.628
9076000.922 939370.628
9072620.922 942610.628
9069990.922 946910.628
9068470.922 952730.628
9069910.922 954980.628



#0 0
#1500 1500
#2000 5000
#2500 8000
#7000 12500
#6000 16000
#3000 17500
#0 20000
