obs.north_m,obs.east_m,obs.heading_deg,obs.speed_mps,obs.cross_track_error_m,obs.wind_speed_mps,obs.wind_dir_deg,obs.current_speed_mps,obs.current_dir_deg,act.t_sample_s,act.Hs_m,act.U_w_bar_mps,act.U_w_bar_knot,act.Tp_s,act.psi_ww_bar_deg,act.U_c_bar_mps,act.psi_c_bar_deg,act.valid,act.sea_state,done.terminated,done.truncated,reward
9077148.0,940122.8125,-50.877323150634766,4.514768600463867,80.82086181640625,5.259477615356445,180.0,0.25903820991516113,-180.0,2000.0,3.3917644023895264,12.540482521057129,24.376748091702826,10.930794715881348,46.326385498046875,0.606626033782959,-64.85750579833984,True,SS 5,False,False,-6.937257197867357
9080905.0,937395.8125,-17.683181762695312,4.542237281799316,0.0,12.414129257202148,180.0,0.6300084590911865,-180.0,3200.0,3.263789176940918,12.569272994995117,24.432712296385432,11.617704391479492,137.1546630859375,0.92497318983078,-119.59480285644531,True,SS 5,False,False,-6.739581073277907
9081967.0,932716.6875,-100.3012466430664,4.765074729919434,0.0,12.37392807006836,180.0,0.946081280708313,-180.0,4400.0,3.2865467071533203,12.670669555664062,24.62981144409698,10.41337776184082,143.01031494140625,0.9553537964820862,-155.97413635253906,True,SS 5,False,False,-4.323420814564814
9082826.0,928199.3125,7.022622585296631,3.65278959274292,0.0,12.742380142211914,180.0,0.9447458386421204,-180.0,5600.0,3.2389543056488037,12.588199615478516,24.46950270369044,11.637398719787598,75.92149353027344,0.6942646503448486,-123.18097686767578,True,SS 5,True,False,-9.190141041363777
